fork,execve,read,write,open,close,socket,connect,accept,send,recv,type
0,4,660,456,246,134,0,0,0,0,0,perlbench_s
0,2,655,702,92,49,0,0,0,0,0,perlbench_s
0,1,742,647,66,44,0,0,0,0,0,perlbench_s
0,0,692,808,0,0,0,0,0,0,0,perlbench_s
0,0,687,813,0,0,0,0,0,0,0,perlbench_s
0,8,552,493,312,135,0,0,0,0,0,perlbench_s
0,1,739,633,74,53,0,0,0,0,0,perlbench_s
0,0,712,788,0,0,0,0,0,0,0,perlbench_s
0,2,700,683,80,35,0,0,0,0,0,perlbench_s
0,2,748,581,106,63,0,0,0,0,0,perlbench_s
0,0,737,759,2,2,0,0,0,0,0,perlbench_s
0,1,723,691,54,31,0,0,0,0,0,perlbench_s
0,0,742,743,7,8,0,0,0,0,0,perlbench_s
0,0,721,765,7,7,0,0,0,0,0,perlbench_s
0,1,737,670,57,35,0,0,0,0,0,perlbench_s
0,0,741,759,0,0,0,0,0,0,0,perlbench_s
0,0,759,701,20,20,0,0,0,0,0,perlbench_s
0,1,702,731,44,22,0,0,0,0,0,perlbench_s
0,0,745,751,2,2,0,0,0,0,0,perlbench_s
0,0,741,718,20,21,0,0,0,0,0,perlbench_s
0,1,720,718,42,19,0,0,0,0,0,perlbench_s
0,0,725,761,7,7,0,0,0,0,0,perlbench_s
0,1,720,687,57,35,0,0,0,0,0,perlbench_s
0,0,743,757,0,0,0,0,0,0,0,perlbench_s
0,0,758,703,20,19,0,0,0,0,0,perlbench_s
0,1,697,735,44,23,0,0,0,0,0,perlbench_s
0,0,745,751,2,2,0,0,0,0,0,perlbench_s
0,0,731,726,20,23,0,0,0,0,0,perlbench_s
0,16,455,60,651,318,0,0,0,0,0,perlbench_s
0,11,575,83,547,284,0,0,0,0,0,perlbench_s
0,8,690,206,383,213,0,0,0,0,0,perlbench_s
0,5,637,435,265,158,0,0,0,0,0,perlbench_s
0,14,461,43,629,353,0,0,0,0,0,perlbench_s
0,13,447,39,659,342,0,0,0,0,0,perlbench_s
0,2,93,9,107,66,0,0,0,0,0,perlbench_s
0,21,254,72,819,334,0,0,0,0,0,perlbench_s
0,16,366,117,672,329,0,0,0,0,0,perlbench_s
0,5,623,402,296,174,0,0,0,0,0,perlbench_s
0,4,659,445,241,151,0,0,0,0,0,perlbench_s
0,3,523,376,331,267,0,0,0,0,0,perlbench_s
0,0,499,495,253,253,0,0,0,0,0,perlbench_s
0,7,436,343,425,289,0,0,0,0,0,perlbench_s
0,6,459,327,421,287,0,0,0,0,0,perlbench_s
0,0,438,532,265,265,0,0,0,0,0,perlbench_s
0,12,435,141,584,328,0,0,0,0,0,perlbench_s
0,15,460,46,657,322,0,0,0,0,0,perlbench_s
0,15,450,53,657,325,0,0,0,0,0,perlbench_s
0,14,442,63,646,335,0,0,0,0,0,perlbench_s
0,12,480,81,596,331,0,0,0,0,0,perlbench_s
0,10,546,327,420,197,0,0,0,0,0,perlbench_s
0,15,462,47,653,323,0,0,0,0,0,perlbench_s
0,11,477,93,580,339,0,0,0,0,0,perlbench_s
0,0,424,9,533,534,0,0,0,0,0,perlbench_s
0,0,486,20,497,497,0,0,0,0,0,perlbench_s
0,11,437,40,627,385,0,0,0,0,0,perlbench_s
0,7,579,444,308,162,0,0,0,0,0,perlbench_s
0,14,478,51,636,321,0,0,0,0,0,perlbench_s
0,14,460,206,552,268,0,0,0,0,0,perlbench_s
0,9,419,126,586,360,0,0,0,0,0,perlbench_s
0,5,703,392,255,145,0,0,0,0,0,perlbench_s
0,2,651,706,92,49,0,0,0,0,0,perlbench_s
0,1,676,713,66,44,0,0,0,0,0,perlbench_s
0,0,604,896,0,0,0,0,0,0,0,perlbench_s
0,0,640,860,0,0,0,0,0,0,0,perlbench_s
0,9,496,455,369,171,0,0,0,0,0,perlbench_s
0,0,742,724,17,17,0,0,0,0,0,perlbench_s
0,0,709,791,0,0,0,0,0,0,0,perlbench_s
0,3,730,547,143,77,0,0,0,0,0,perlbench_s
0,1,715,720,43,21,0,0,0,0,0,perlbench_s
0,0,714,772,7,7,0,0,0,0,0,perlbench_s
0,1,731,678,56,34,0,0,0,0,0,perlbench_s
0,0,741,759,0,0,0,0,0,0,0,perlbench_s
0,0,760,701,20,19,0,0,0,0,0,perlbench_s
0,1,705,727,44,23,0,0,0,0,0,perlbench_s
0,0,740,756,2,2,0,0,0,0,0,perlbench_s
0,1,720,729,22,28,0,0,0,0,0,perlbench_s
0,0,729,719,40,12,0,0,0,0,0,perlbench_s
0,0,729,757,7,7,0,0,0,0,0,perlbench_s
0,1,680,727,57,35,0,0,0,0,0,perlbench_s
0,0,739,761,0,0,0,0,0,0,0,perlbench_s
0,0,755,703,21,21,0,0,0,0,0,perlbench_s
0,1,696,739,43,21,0,0,0,0,0,perlbench_s
0,0,739,757,2,2,0,0,0,0,0,perlbench_s
0,1,721,676,62,40,0,0,0,0,0,perlbench_s
0,0,697,803,0,0,0,0,0,0,0,perlbench_s
0,0,726,760,7,7,0,0,0,0,0,perlbench_s
0,6,635,397,298,164,0,0,0,0,0,perlbench_s
0,16,451,63,660,310,0,0,0,0,0,perlbench_s
0,10,643,82,490,275,0,0,0,0,0,perlbench_s
0,3,724,541,148,84,0,0,0,0,0,perlbench_s
0,11,506,102,559,322,0,0,0,0,0,perlbench_s
0,14,445,42,652,347,0,0,0,0,0,perlbench_s
0,9,334,30,449,250,0,0,0,0,0,perlbench_s
0,21,254,72,819,334,0,0,0,0,0,perlbench_s
0,16,366,117,672,329,0,0,0,0,0,perlbench_s
0,5,637,402,282,174,0,0,0,0,0,perlbench_s
0,4,663,445,242,146,0,0,0,0,0,perlbench_s
0,3,523,368,339,267,0,0,0,0,0,perlbench_s
0,0,499,495,253,253,0,0,0,0,0,perlbench_s
0,7,489,350,379,275,0,0,0,0,0,perlbench_s
0,6,455,297,454,288,0,0,0,0,0,perlbench_s
0,0,441,523,268,268,0,0,0,0,0,perlbench_s
0,11,432,178,555,324,0,0,0,0,0,perlbench_s
0,15,458,47,658,322,0,0,0,0,0,perlbench_s
0,15,451,51,659,324,0,0,0,0,0,perlbench_s
0,14,442,65,644,335,0,0,0,0,0,perlbench_s
0,12,482,76,598,332,0,0,0,0,0,perlbench_s
0,10,533,332,423,202,0,0,0,0,0,perlbench_s
0,16,438,49,673,324,0,0,0,0,0,perlbench_s
0,11,497,92,573,327,0,0,0,0,0,perlbench_s
0,0,419,8,537,536,0,0,0,0,0,perlbench_s
0,0,485,20,497,498,0,0,0,0,0,perlbench_s
0,10,444,39,610,397,0,0,0,0,0,perlbench_s
0,7,593,444,294,162,0,0,0,0,0,perlbench_s
0,14,465,51,653,317,0,0,0,0,0,perlbench_s
0,13,460,201,559,267,0,0,0,0,0,perlbench_s
0,10,414,131,580,365,0,0,0,0,0,perlbench_s
0,6,618,407,302,167,0,0,0,0,0,perlbench_s
0,2,564,793,92,49,0,0,0,0,0,perlbench_s
0,1,707,682,66,44,0,0,0,0,0,perlbench_s
0,0,638,862,0,0,0,0,0,0,0,perlbench_s
0,0,667,833,0,0,0,0,0,0,0,perlbench_s
0,9,536,415,369,171,0,0,0,0,0,perlbench_s
0,0,742,724,17,17,0,0,0,0,0,perlbench_s
0,0,719,781,0,0,0,0,0,0,0,perlbench_s
0,3,737,550,139,71,0,0,0,0,0,perlbench_s
0,1,721,704,47,27,0,0,0,0,0,perlbench_s
0,0,727,769,2,2,0,0,0,0,0,perlbench_s
0,1,741,658,61,39,0,0,0,0,0,perlbench_s
0,0,742,758,0,0,0,0,0,0,0,perlbench_s
0,0,718,764,9,9,0,0,0,0,0,perlbench_s
0,1,735,676,55,33,0,0,0,0,0,perlbench_s
0,0,744,752,2,2,0,0,0,0,0,perlbench_s
0,0,738,724,19,19,0,0,0,0,0,perlbench_s
0,1,716,719,43,21,0,0,0,0,0,perlbench_s
0,0,733,763,2,2,0,0,0,0,0,perlbench_s
0,1,723,674,62,40,0,0,0,0,0,perlbench_s
0,0,736,764,0,0,0,0,0,0,0,perlbench_s
0,0,703,779,9,9,0,0,0,0,0,perlbench_s
0,1,752,659,55,33,0,0,0,0,0,perlbench_s
0,0,746,750,2,2,0,0,0,0,0,perlbench_s
0,0,739,723,19,19,0,0,0,0,0,perlbench_s
0,1,716,719,43,21,0,0,0,0,0,perlbench_s
0,0,728,768,2,2,0,0,0,0,0,perlbench_s
0,3,696,572,145,84,0,0,0,0,0,perlbench_s
0,15,469,62,643,311,0,0,0,0,0,perlbench_s
0,10,656,78,489,267,0,0,0,0,0,perlbench_s
0,7,649,344,324,176,0,0,0,0,0,perlbench_s
0,8,583,304,376,229,0,0,0,0,0,perlbench_s
0,13,455,39,652,341,0,0,0,0,0,perlbench_s
0,13,461,42,632,349,0,0,0,0,0,perlbench_s
0,21,254,72,819,334,0,0,0,0,0,perlbench_s
0,16,366,117,672,329,0,0,0,0,0,perlbench_s
0,5,636,402,283,174,0,0,0,0,0,perlbench_s
0,4,660,445,243,148,0,0,0,0,0,perlbench_s
